canonical_name,introduces_count,uses_count,momentum_score,total_papers,idf_score,idf_tier,momentum_label
Mechanistic analysis of grokking and algorithmic shifts in skill composition,1,0,1,1,4.6052,SPECIALIZED,Positive
Mechanistic explanation for SFT vs LAIF,1,0,1,1,4.6052,SPECIALIZED,Positive
Memory footprint reduction algorithms,1,0,1,1,4.6052,SPECIALIZED,Positive
Method for learning group actions on the latent space,1,0,1,1,4.6052,SPECIALIZED,Positive
Modular Regression,1,0,1,1,4.6052,SPECIALIZED,Positive
Moment Matching Distillation,1,0,1,1,4.6052,SPECIALIZED,Positive
Multi-Group Proportional Representation,1,0,1,1,4.6052,SPECIALIZED,Positive
Multi-label comp-sum losses,1,0,1,1,4.6052,SPECIALIZED,Positive
Multi-label constrained losses,1,0,1,1,4.6052,SPECIALIZED,Positive
Multi-label logistic loss,1,0,1,1,4.6052,SPECIALIZED,Positive
Multiclass extension of the exponential tail property,1,0,1,1,4.6052,SPECIALIZED,Positive
NAO,1,0,1,1,4.6052,SPECIALIZED,Positive
Named Entity Recognition,1,0,1,1,4.6052,SPECIALIZED,Positive
Neural Embeddings Rank,1,0,1,1,4.6052,SPECIALIZED,Positive
Neural polarization law,1,0,1,1,4.6052,SPECIALIZED,Positive
Neural tangent experts,1,0,1,1,4.6052,SPECIALIZED,Positive
NeuralSteiner,1,0,1,1,4.6052,SPECIALIZED,Positive
Non-asymptotic convergence rates,1,0,1,1,4.6052,SPECIALIZED,Positive
Nonlinear Modeling Error matrix,1,0,1,1,4.6052,SPECIALIZED,Positive
Nonlocal Attention Operator,1,0,1,1,4.6052,SPECIALIZED,Positive
Normalizing flows based mutual information estimators,1,0,1,1,4.6052,SPECIALIZED,Positive
Normative model for spatial representation using residue number system,1,0,1,1,4.6052,SPECIALIZED,Positive
OPTO,1,0,1,1,4.6052,SPECIALIZED,Positive
Optimization with Trace Oracle,1,0,1,1,4.6052,SPECIALIZED,Positive
OptoPrime,1,0,1,1,4.6052,SPECIALIZED,Positive
Output-sensitive algorithm,1,0,1,1,4.6052,SPECIALIZED,Positive
PAC-Bayes bound for multiple errors,1,0,1,1,4.6052,SPECIALIZED,Positive
PRELUDE,1,0,1,1,4.6052,SPECIALIZED,Positive
Pareto front tracing algorithm,1,0,1,1,4.6052,SPECIALIZED,Positive
Pay-for-performance contract framework,1,0,1,1,4.6052,SPECIALIZED,Positive
Polynomial-time algorithm for fixed centers,1,0,1,1,4.6052,SPECIALIZED,Positive
Proxy-based sparse expert selection and pooling,1,0,1,1,4.6052,SPECIALIZED,Positive
ProxyFusion,1,0,1,1,4.6052,SPECIALIZED,Positive
Pseudo-margin,1,0,1,1,4.6052,SPECIALIZED,Positive
QB-Vine,1,0,1,1,4.6052,SPECIALIZED,Positive
Quasi-Bayesian Vine,1,0,1,1,4.6052,SPECIALIZED,Positive
RL-based centralized dynamic planning framework,1,0,1,1,4.6052,SPECIALIZED,Positive
Ratio Matching,1,0,1,1,4.6052,SPECIALIZED,Positive
RealMLP,1,0,1,1,4.6052,SPECIALIZED,Positive
Reasoning primitives,1,0,1,1,4.6052,SPECIALIZED,Positive
Recursive Value Function Search,1,0,1,1,4.6052,SPECIALIZED,Positive
Refusal direction extraction,1,0,1,1,4.6052,SPECIALIZED,Positive
Restricted isometry property on a tangent space,1,0,1,1,4.6052,SPECIALIZED,Positive
Retriever-Aware Training,1,0,1,1,4.6052,SPECIALIZED,Positive
SIRIUS,1,0,1,1,4.6052,SPECIALIZED,Positive
SIRIUS correction mechanism,1,0,1,1,4.6052,SPECIALIZED,Positive
Scene description benchmark,1,0,1,1,4.6052,SPECIALIZED,Positive
Schur Nets,1,0,1,1,4.6052,SPECIALIZED,Positive
Semantic consistency,1,0,1,1,4.6052,SPECIALIZED,Positive
Sensory-cognitive models utilizing naturalistic stimuli,1,0,1,1,4.6052,SPECIALIZED,Positive
Sinkhorn Value Iteration,1,0,1,1,4.6052,SPECIALIZED,Positive
Smoothie,1,0,1,1,4.6052,SPECIALIZED,Positive
Spatial meaningfulness framework,1,0,1,1,4.6052,SPECIALIZED,Positive
Spatiotemporal Sensitivity Module,1,0,1,1,4.6052,SPECIALIZED,Positive
Stochastic Amortization with noisy labels,1,0,1,1,4.6052,SPECIALIZED,Positive
Strong meta-tuned default parameters,1,0,1,1,4.6052,SPECIALIZED,Positive
Structured orthogonal parametrization,1,0,1,1,4.6052,SPECIALIZED,Positive
Synatra,1,0,1,1,4.6052,SPECIALIZED,Positive
Synthetic data generation framework,1,0,1,1,4.6052,SPECIALIZED,Positive
TVSAFEOPT,1,0,1,1,4.6052,SPECIALIZED,Positive
Tangent Space Causal Inference,1,0,1,1,4.6052,SPECIALIZED,Positive
Task-structured RL algorithms,1,0,1,1,4.6052,SPECIALIZED,Positive
Temporal Activation Controller,1,0,1,1,4.6052,SPECIALIZED,Positive
Theoretical analysis of gradient descent sample inefficiency,1,0,1,1,4.6052,SPECIALIZED,Positive
Theoretical framework for tokenization under Markovian data,1,0,1,1,4.6052,SPECIALIZED,Positive
Theory of pattern classes under discrete data streams,1,0,1,1,4.6052,SPECIALIZED,Positive
Tool-augmented Outcome Reward Model,1,0,1,1,4.6052,SPECIALIZED,Positive
Trace,1,0,1,1,4.6052,SPECIALIZED,Positive
Trace library,1,0,1,1,4.6052,SPECIALIZED,Positive
Tractability conditions for compositional queries,1,0,1,1,4.6052,SPECIALIZED,Positive
Two-agent speaker-listener game,1,0,1,1,4.6052,SPECIALIZED,Positive
Two-stage training algorithm for one-layer transformer,1,0,1,1,4.6052,SPECIALIZED,Positive
Unelicitable backdoors,1,0,1,1,4.6052,SPECIALIZED,Positive
Uniform sampling algorithm,1,0,1,1,4.6052,SPECIALIZED,Positive
Unifying class of structured matrices,1,0,1,1,4.6052,SPECIALIZED,Positive
Vector-contraction inequality,1,0,1,1,4.6052,SPECIALIZED,Positive
Wasserstein gradient boosting,1,0,1,1,4.6052,SPECIALIZED,Positive
Weight orthogonalization,1,0,1,1,4.6052,SPECIALIZED,Positive
Weight rescaling following pretraining,1,0,1,1,4.6052,SPECIALIZED,Positive
active labeling framework,1,0,1,1,4.6052,SPECIALIZED,Positive
adaptive branching,1,0,1,1,4.6052,SPECIALIZED,Positive
adaptive gradient methods,1,0,1,1,4.6052,SPECIALIZED,Positive
adversarial evaluation procedure,1,0,1,1,4.6052,SPECIALIZED,Positive
algorithm enhancements for memory footprint reduction,1,0,1,1,4.6052,SPECIALIZED,Positive
alternating optimization,1,0,1,1,4.6052,SPECIALIZED,Positive
alternative parameterization of low-rank problem,1,0,1,1,4.6052,SPECIALIZED,Positive
assignment-then-diffusion,1,0,1,1,4.6052,SPECIALIZED,Positive
assignment-then-diffusion training strategy,1,0,1,1,4.6052,SPECIALIZED,Positive
auditing algorithms,1,0,1,1,4.6052,SPECIALIZED,Positive
basis for equivariant operations,1,0,1,1,4.6052,SPECIALIZED,Positive
bidirectional graph search,1,0,1,1,4.6052,SPECIALIZED,Positive
concept space framework,1,0,1,1,4.6052,SPECIALIZED,Positive
cross-view contrastive knowledge distillation,1,0,1,1,4.6052,SPECIALIZED,Positive
discounted occupancy couplings,1,0,1,1,4.6052,SPECIALIZED,Positive
disentangled conditioning mechanism,1,0,1,1,4.6052,SPECIALIZED,Positive
disentangled semantic and low-level conditioning mechanism,1,0,1,1,4.6052,SPECIALIZED,Positive
dual training algorithm,1,0,1,1,4.6052,SPECIALIZED,Positive
dynamic rescaling,1,0,1,1,4.6052,SPECIALIZED,Positive
dynamic rescaling of network parameters and gradients,1,0,1,1,4.6052,SPECIALIZED,Positive
efficient uncoupled learning algorithm,1,0,1,1,4.6052,SPECIALIZED,Positive
equivariant basis from graph Laplacian,1,0,1,1,4.6052,SPECIALIZED,Positive
flow equations describing learning,1,0,1,1,4.6052,SPECIALIZED,Positive
generalization bounds,1,0,1,1,4.6052,SPECIALIZED,Positive
goal-conditioned cost network,1,0,1,1,4.6052,SPECIALIZED,Positive
graph-based learning framework,1,0,1,1,4.6052,SPECIALIZED,Positive
inhibitory plasticity,1,0,1,1,4.6052,SPECIALIZED,Positive
inhibitory plasticity rule,1,0,1,1,4.6052,SPECIALIZED,Positive
meta-tuned default parameters,1,0,1,1,4.6052,SPECIALIZED,Positive
method directly training on scenarios with high learnability,1,0,1,1,4.6052,SPECIALIZED,Positive
mixture method,1,0,1,1,4.6052,SPECIALIZED,Positive
modular arithmetic dataset,1,0,1,1,4.6052,SPECIALIZED,Positive
mutual fairness,1,0,1,1,4.6052,SPECIALIZED,Positive
mutual fairness metric,1,0,1,1,4.6052,SPECIALIZED,Positive
nMCTS,1,0,1,1,4.6052,SPECIALIZED,Positive
nearly-linear time algorithm,1,0,1,1,4.6052,SPECIALIZED,Positive
new seed-selection algorithm,1,0,1,1,4.6052,SPECIALIZED,Positive
option-level formulation,1,0,1,1,4.6052,SPECIALIZED,Positive
parameter-space moment matching,1,0,1,1,4.6052,SPECIALIZED,Positive
polarization,1,0,1,1,4.6052,SPECIALIZED,Positive
program search,1,0,1,1,4.6052,SPECIALIZED,Positive
pseudo-programs,1,0,1,1,4.6052,SPECIALIZED,Positive
quantized assignment strategy,1,0,1,1,4.6052,SPECIALIZED,Positive
ranking algorithm,1,0,1,1,4.6052,SPECIALIZED,Positive
reinforcement learning-based centralized dynamic planning framework,1,0,1,1,4.6052,SPECIALIZED,Positive
satisficing paths,1,0,1,1,4.6052,SPECIALIZED,Positive
seed-selection algorithm,1,0,1,1,4.6052,SPECIALIZED,Positive
state merge,1,0,1,1,4.6052,SPECIALIZED,Positive
suite of RL algorithms,1,0,1,1,4.6052,SPECIALIZED,Positive
temporally asymmetric generalization of Oja's rule,1,0,1,1,4.6052,SPECIALIZED,Positive
tool-augmented ORM,1,0,1,1,4.6052,SPECIALIZED,Positive
two-stage training algorithm,1,0,1,1,4.6052,SPECIALIZED,Positive
uncoupled learning algorithm,1,0,1,1,4.6052,SPECIALIZED,Positive
universal stochastic gradient methods,1,0,1,1,4.6052,SPECIALIZED,Positive
view decoupling,1,0,1,1,4.6052,SPECIALIZED,Positive
weight rescaling,1,0,1,1,4.6052,SPECIALIZED,Positive
weights2weights subspace,1,0,1,1,4.6052,SPECIALIZED,Positive
white-box jailbreak method,1,0,1,1,4.6052,SPECIALIZED,Positive
ηMCTS,1,0,1,1,4.6052,SPECIALIZED,Positive
Directional ablation,1,1,0,1,4.6052,SPECIALIZED,Neutral
Latent variable graphical models,1,1,0,1,4.6052,SPECIALIZED,Neutral
$\Phi$-equilibria,0,1,-1,1,4.6052,SPECIALIZED,Negative
1-Lipschitz neural networks,0,1,-1,1,4.6052,SPECIALIZED,Negative
2D-CNN,0,1,-1,1,4.6052,SPECIALIZED,Negative
3D-CNN,0,1,-1,1,4.6052,SPECIALIZED,Negative
Abstract Syntax Tree,0,1,-1,1,4.6052,SPECIALIZED,Negative
Activation addition,0,1,-1,1,4.6052,SPECIALIZED,Negative
AdaGrad stepsizes,0,1,-1,1,4.6052,SPECIALIZED,Negative
Adam,0,1,-1,1,4.6052,SPECIALIZED,Negative
Adaptive learning algorithms,0,1,-1,1,4.6052,SPECIALIZED,Negative
Adversarial training,0,1,-1,1,4.6052,SPECIALIZED,Negative
Algebraic circuits,0,1,-1,1,4.6052,SPECIALIZED,Negative
Alternating Least Squares algorithm,0,1,-1,1,4.6052,SPECIALIZED,Negative
Amortized models,0,1,-1,1,4.6052,SPECIALIZED,Negative
Attention mechanism,0,1,-1,1,4.6052,SPECIALIZED,Negative
Attractor network,0,1,-1,1,4.6052,SPECIALIZED,Negative
AutoDiff,0,1,-1,1,4.6052,SPECIALIZED,Negative
Autoencoders,0,1,-1,1,4.6052,SPECIALIZED,Negative
BERT,0,1,-1,1,4.6052,SPECIALIZED,Negative
BM25,0,1,-1,1,4.6052,SPECIALIZED,Negative
Backpropagation,0,1,-1,1,4.6052,SPECIALIZED,Negative
Bayesian ensemble,0,1,-1,1,4.6052,SPECIALIZED,Negative
Bayesian optimization,0,1,-1,1,4.6052,SPECIALIZED,Negative
Binary relevance surrogate,0,1,-1,1,4.6052,SPECIALIZED,Negative
Blender,0,1,-1,1,4.6052,SPECIALIZED,Negative
Blind-prediction framework,0,1,-1,1,4.6052,SPECIALIZED,Negative
CASP,0,1,-1,1,4.6052,SPECIALIZED,Negative
COMET,0,1,-1,1,4.6052,SPECIALIZED,Negative
COMET metric,0,1,-1,1,4.6052,SPECIALIZED,Negative
Causal backdoor adjustment,0,1,-1,1,4.6052,SPECIALIZED,Negative
Chain-of-Thought prompting,0,1,-1,1,4.6052,SPECIALIZED,Negative
Chat Models,0,1,-1,1,4.6052,SPECIALIZED,Negative
Claude Sonnet 3.5,0,1,-1,1,4.6052,SPECIALIZED,Negative
Clustering,0,1,-1,1,4.6052,SPECIALIZED,Negative
CodeLlama,0,1,-1,1,4.6052,SPECIALIZED,Negative
Comp-sum losses,0,1,-1,1,4.6052,SPECIALIZED,Negative
Computational geometry tools,0,1,-1,1,4.6052,SPECIALIZED,Negative
Computer-aided synthesis planning,0,1,-1,1,4.6052,SPECIALIZED,Negative
Conditional value at risk,0,1,-1,1,4.6052,SPECIALIZED,Negative
Consistency Models,0,1,-1,1,4.6052,SPECIALIZED,Negative
Constrained losses,0,1,-1,1,4.6052,SPECIALIZED,Negative
Contextual Sparsity,0,1,-1,1,4.6052,SPECIALIZED,Negative
Continual learning,0,1,-1,1,4.6052,SPECIALIZED,Negative
Convergent cross mapping,0,1,-1,1,4.6052,SPECIALIZED,Negative
Convolutional neural networks,0,1,-1,1,4.6052,SPECIALIZED,Negative
Coordinate mirror descent,0,1,-1,1,4.6052,SPECIALIZED,Negative
Cryptographic techniques,0,1,-1,1,4.6052,SPECIALIZED,Negative
DALL-E 3,0,1,-1,1,4.6052,SPECIALIZED,Negative
DDIM,0,1,-1,1,4.6052,SPECIALIZED,Negative
Data valuation,0,1,-1,1,4.6052,SPECIALIZED,Negative
Deep Reinforcement Learning,0,1,-1,1,4.6052,SPECIALIZED,Negative
Deep learning,0,1,-1,1,4.6052,SPECIALIZED,Negative
Deep linear models,0,1,-1,1,4.6052,SPECIALIZED,Negative
Diagonal linear networks,0,1,-1,1,4.6052,SPECIALIZED,Negative
Difference-in-means,0,1,-1,1,4.6052,SPECIALIZED,Negative
Difference-in-means direction,0,1,-1,1,4.6052,SPECIALIZED,Negative
Differential privacy,0,1,-1,1,4.6052,SPECIALIZED,Negative
Dimensionality reduction,0,1,-1,1,4.6052,SPECIALIZED,Negative
Direct feature attribution,0,1,-1,1,4.6052,SPECIALIZED,Negative
Discrimination objective,0,1,-1,1,4.6052,SPECIALIZED,Negative
Document retriever,0,1,-1,1,4.6052,SPECIALIZED,Negative
Efficient Method of Moments,0,1,-1,1,4.6052,SPECIALIZED,Negative
Empirical risk minimization,0,1,-1,1,4.6052,SPECIALIZED,Negative
Energy score,0,1,-1,1,4.6052,SPECIALIZED,Negative
Ensembling,0,1,-1,1,4.6052,SPECIALIZED,Negative
Equivariant Graph Neural Networks,0,1,-1,1,4.6052,SPECIALIZED,Negative
Explore-then-exploit,0,1,-1,1,4.6052,SPECIALIZED,Negative
Face feature fusion,0,1,-1,1,4.6052,SPECIALIZED,Negative
Face recognition,0,1,-1,1,4.6052,SPECIALIZED,Negative
FastMRI dataset,0,1,-1,1,4.6052,SPECIALIZED,Negative
Feature attribution,0,1,-1,1,4.6052,SPECIALIZED,Negative
Fine-tuning,0,1,-1,1,4.6052,SPECIALIZED,Negative
Foreground subject segmentation,0,1,-1,1,4.6052,SPECIALIZED,Negative
Forward gradients,0,1,-1,1,4.6052,SPECIALIZED,Negative
Fractal dimension,0,1,-1,1,4.6052,SPECIALIZED,Negative
Fused Gromov-Wasserstein,0,1,-1,1,4.6052,SPECIALIZED,Negative
GATs,0,1,-1,1,4.6052,SPECIALIZED,Negative
GPT,0,1,-1,1,4.6052,SPECIALIZED,Negative
GPT-4,0,1,-1,1,4.6052,SPECIALIZED,Negative
GPT-4o,0,1,-1,1,4.6052,SPECIALIZED,Negative
GPT-4v,0,1,-1,1,4.6052,SPECIALIZED,Negative
GPT-Index,0,1,-1,1,4.6052,SPECIALIZED,Negative
GRU,0,1,-1,1,4.6052,SPECIALIZED,Negative
Gauss-Newton matrix,0,1,-1,1,4.6052,SPECIALIZED,Negative
Gaussian Processes,0,1,-1,1,4.6052,SPECIALIZED,Negative
Gaussian kernel ridge regression,0,1,-1,1,4.6052,SPECIALIZED,Negative
Gaussian universality ansatz,0,1,-1,1,4.6052,SPECIALIZED,Negative
Gemini,0,1,-1,1,4.6052,SPECIALIZED,Negative
Gemini Ultra 1.5,0,1,-1,1,4.6052,SPECIALIZED,Negative
Generalized Method of Moments,0,1,-1,1,4.6052,SPECIALIZED,Negative
Google Muse,0,1,-1,1,4.6052,SPECIALIZED,Negative
Google Parti,0,1,-1,1,4.6052,SPECIALIZED,Negative
Gradient noise scale,0,1,-1,1,4.6052,SPECIALIZED,Negative
Gradient-boosted decision trees,0,1,-1,1,4.6052,SPECIALIZED,Negative
Gradual stacking,0,1,-1,1,4.6052,SPECIALIZED,Negative
Graph Attention Networks,0,1,-1,1,4.6052,SPECIALIZED,Negative
Graph convolutional network,0,1,-1,1,4.6052,SPECIALIZED,Negative
Graph neural networks,0,1,-1,1,4.6052,SPECIALIZED,Negative
Graph-based post-processing algorithm,0,1,-1,1,4.6052,SPECIALIZED,Negative
Greedy Capture,0,1,-1,1,4.6052,SPECIALIZED,Negative
Gromov-Wasserstein,0,1,-1,1,4.6052,SPECIALIZED,Negative
Grouped-Query Attention,0,1,-1,1,4.6052,SPECIALIZED,Negative
H3 architecture,0,1,-1,1,4.6052,SPECIALIZED,Negative
Hamming loss,0,1,-1,1,4.6052,SPECIALIZED,Negative
In-context prompting,0,1,-1,1,4.6052,SPECIALIZED,Negative
Inference attacks,0,1,-1,1,4.6052,SPECIALIZED,Negative
Input space margins,0,1,-1,1,4.6052,SPECIALIZED,Negative
Iteratively reweighted least squares,0,1,-1,1,4.6052,SPECIALIZED,Negative
Joint Embedding Predictive Architectures,0,1,-1,1,4.6052,SPECIALIZED,Negative
Kullback-Leibler divergence,0,1,-1,1,4.6052,SPECIALIZED,Negative
LLaMA-7B,0,1,-1,1,4.6052,SPECIALIZED,Negative
LSTM,0,1,-1,1,4.6052,SPECIALIZED,Negative
Label-specific representation learning,0,1,-1,1,4.6052,SPECIALIZED,Negative
Latent coupling factorization,0,1,-1,1,4.6052,SPECIALIZED,Negative
Latent diffusion models,0,1,-1,1,4.6052,SPECIALIZED,Negative
Latent variable models,0,1,-1,1,4.6052,SPECIALIZED,Negative
LayerNorm,0,1,-1,1,4.6052,SPECIALIZED,Negative
Learning from AI Feedback,0,1,-1,1,4.6052,SPECIALIZED,Negative
Least-squares estimation,0,1,-1,1,4.6052,SPECIALIZED,Negative
Levenshtein edit distance,0,1,-1,1,4.6052,SPECIALIZED,Negative
LieGAN,0,1,-1,1,4.6052,SPECIALIZED,Negative
Linear Vision Transformer,0,1,-1,1,4.6052,SPECIALIZED,Negative
Linear attention,0,1,-1,1,4.6052,SPECIALIZED,Negative
Linear regression decoder,0,1,-1,1,4.6052,SPECIALIZED,Negative
Lion optimizer,0,1,-1,1,4.6052,SPECIALIZED,Negative
Llama3-70B,0,1,-1,1,4.6052,SPECIALIZED,Negative
Llama3-8B,0,1,-1,1,4.6052,SPECIALIZED,Negative
Llava 1.5,0,1,-1,1,4.6052,SPECIALIZED,Negative
LoRA,0,1,-1,1,4.6052,SPECIALIZED,Negative
Logit margins,0,1,-1,1,4.6052,SPECIALIZED,Negative
Looped models,0,1,-1,1,4.6052,SPECIALIZED,Negative
Loss upweighting,0,1,-1,1,4.6052,SPECIALIZED,Negative
MPE,0,1,-1,1,4.6052,SPECIALIZED,Negative
MPNET,0,1,-1,1,4.6052,SPECIALIZED,Negative
MRI reconstruction,0,1,-1,1,4.6052,SPECIALIZED,Negative
Machine unlearning,0,1,-1,1,4.6052,SPECIALIZED,Negative
Majority vote aggregation,0,1,-1,1,4.6052,SPECIALIZED,Negative
Marginal MAP,0,1,-1,1,4.6052,SPECIALIZED,Negative
Masked Auto Encoder,0,1,-1,1,4.6052,SPECIALIZED,Negative
Mini-batch upsampling,0,1,-1,1,4.6052,SPECIALIZED,Negative
Minimum Bayes Risk decoding,0,1,-1,1,4.6052,SPECIALIZED,Negative
Mistral-7B,0,1,-1,1,4.6052,SPECIALIZED,Negative
Multi-Head Attention,0,1,-1,1,4.6052,SPECIALIZED,Negative
Multi-Query Attention,0,1,-1,1,4.6052,SPECIALIZED,Negative
Multi-task learning,0,1,-1,1,4.6052,SPECIALIZED,Negative
Multilayer perceptrons,0,1,-1,1,4.6052,SPECIALIZED,Negative
Mutual information estimation,0,1,-1,1,4.6052,SPECIALIZED,Negative
Neural operators,0,1,-1,1,4.6052,SPECIALIZED,Negative
Next-token prediction,0,1,-1,1,4.6052,SPECIALIZED,Negative
Non-convex rank minimization,0,1,-1,1,4.6052,SPECIALIZED,Negative
Non-linear perceptron,0,1,-1,1,4.6052,SPECIALIZED,Negative
Nonnegative matrix factorization,0,1,-1,1,4.6052,SPECIALIZED,Negative
Normalizing flows,0,1,-1,1,4.6052,SPECIALIZED,Negative
Oja's rule,0,1,-1,1,4.6052,SPECIALIZED,Negative
Online Gradient Descent,0,1,-1,1,4.6052,SPECIALIZED,Negative
Optimal composite hypothesis tests,0,1,-1,1,4.6052,SPECIALIZED,Negative
Orthogonal convolutions,0,1,-1,1,4.6052,SPECIALIZED,Negative
Orthogonal finetuning,0,1,-1,1,4.6052,SPECIALIZED,Negative
PAC-Bayes generalisation bounds,0,1,-1,1,4.6052,SPECIALIZED,Negative
Partially observable Markov decision processes,0,1,-1,1,4.6052,SPECIALIZED,Negative
Permutation Equivariant and Relative Margin-based losses,0,1,-1,1,4.6052,SPECIALIZED,Negative
Persistent homology dimension,0,1,-1,1,4.6052,SPECIALIZED,Negative
Pooling,0,1,-1,1,4.6052,SPECIALIZED,Negative
Pre-computed features,0,1,-1,1,4.6052,SPECIALIZED,Negative
Preconditioned gradient descent,0,1,-1,1,4.6052,SPECIALIZED,Negative
Preference optimization,0,1,-1,1,4.6052,SPECIALIZED,Negative
Pretrained models,0,1,-1,1,4.6052,SPECIALIZED,Negative
Pretraining,0,1,-1,1,4.6052,SPECIALIZED,Negative
Pretraining and finetuning,0,1,-1,1,4.6052,SPECIALIZED,Negative
Probabilistic Context-free Grammars,0,1,-1,1,4.6052,SPECIALIZED,Negative
Probabilistic answer set programming inference,0,1,-1,1,4.6052,SPECIALIZED,Negative
Process Reward Model,0,1,-1,1,4.6052,SPECIALIZED,Negative
Proximal Policy Optimization,0,1,-1,1,4.6052,SPECIALIZED,Negative
PyTorch,0,1,-1,1,4.6052,SPECIALIZED,Negative
Quantized training,0,1,-1,1,4.6052,SPECIALIZED,Negative
Quasi-Bayesian methods,0,1,-1,1,4.6052,SPECIALIZED,Negative
